country,title,description,published_at,source_name,url
Nepal,Man who stabbed English tourist in Dublin's Temple Bar is jailed,Jordan Carroll was one of three people involved in the attack on the tourist who had travelled to Dublin to celebrate a friend’s birthday.,2026-04-24T19:31:00Z,The Journal,https://www.thejournal.ie/man-who-stabbed-english-tourist-temple-bar-jailed-7023179-Apr2026/
Nepal,No Court Pronouncement Has Invalidated Lagos Monthly Sanitation - Environment Commissioner,No Court Pronouncement Has Invalidated Lagos Monthly Sanitation — Environment Commissioner,2026-04-24T19:30:42Z,Channels Television,https://www.channelstv.com/2026/04/24/no-court-pronouncement-has-invalidated-lagos-monthly-sanitation-environment-commissioner/
Nepal,JT Lady Jaguars complete double against UCU Lady Canons,JT Lady Jaguars completed a hard-fought 74-70 victory against UCU Lady Canons in the NBL encounter at Lugogo Indoor Arena on Friday.,2026-04-24T19:30:42Z,Kawowo Sports,https://kawowo.com/2026/04/24/jt-lady-jaguars-complete-double-against-ucu-lady-canons/
Nepal,"Rathlin Island: Hike through history, wildlife & haunting beauty",Watch Tracks and Trails Fridays on RTÉ One at 8:30pm.,2026-04-24T19:30:31Z,RTE.ie,https://www.rte.ie/lifestyle/travel/2026/0424/1569635-rathlin-island-hike-through-history-wildlife-haunting-beauty/
Nepal,How war is reshaping life for Israel’s wives and mothers,"DOMESTIC AFFAIRS: Eliana reflects a familiar reality for many women in Israel: Emotional yet composed, missing a husband deeply while fully aware he has a job to do, and proud that he is doing it.",2026-04-24T19:30:20Z,The Jerusalem Post,https://www.jpost.com/israel-news/article-894021
Nepal,Jennifer Aniston spotted script in hand filming intense scenes,"Jennifer Aniston is back under the studio lights and fully in character as filming for Season 5 of The Morning Show gets underway.Spotted in downtown Los Angeles, the actress looked deep in concentration while clutching a script,...",2026-04-24T19:29:10Z,Geo News,https://www.geo.tv/latest/661526-jennifer-aniston-spotted-script-in-hand-filming-intense-scenes
Nepal,Stop the TGMA Artiste of the Year noise - Ice King of Aburi tells Medikal,"Ghanaian musician Ice King of Aburi has taken a swipe at Medikal for allegedly campaigning for the coveted Artiste of the Year award at the upcoming Telecel Ghana Music Awards (TGMAs), insisting that such efforts rarely lead to success.",2026-04-24T19:29:07Z,GhanaWeb,https://www.ghanaweb.com/GhanaHomePage/entertainment/Stop-the-TGMA-Artiste-of-the-Year-noise-Ice-King-of-Aburi-tells-Medikal-2031495
Nepal,"Cyril Fuego drops debut album 'Fishes & Snails,' fetches $5,000 at Kumasi launch","Kumasi-based rapper Cyril Fuego has turned heads with the release of his debut album 'Fishes & Snails,' a nine-track project that is already generating serious buzz across the Kumerica music scene.",2026-04-24T19:29:07Z,GhanaWeb,https://www.ghanaweb.com/GhanaHomePage/entertainment/Cyril-Fuego-drops-debut-album-Fishes-Snails-fetches-5-000-at-Kumasi-launch-2031496
Nepal,Media Insider: Prime Minister Christopher Luxon ditches Tova O’Brien and TVNZ Breakfast,A shrewd PR move or a misstep? Communication experts analyse PM Christopher Luxon’s decision to refuse Breakfast each Monday morning. It took only three...,2026-04-24T19:26:38Z,NZ Herald,https://www.nzherald.co.nz/business/media-insider/media-insider-prime-minister-christopher-luxon-ditches-tova-obrien-and-tvnz-breakfast-will-it-help-or-hurt-him/premium/JHHPQM7EGJDIRLPJJUZ27HNPN4/
Nepal,Anzac Day live updates: Australians honour our fallen at dawn services across the country,"Crowds in Sydney, Melbourne and Adelaide all tried to shut down the disruption with cheers of their own as Australians remember our fallen Anzac heroes.",2026-04-24T19:26:00Z,7NEWS,https://7news.com.au/news/anzac-day-live-updates-australians-honour-our-fallen-at-dawn-services-across-the-country-c-22190389
India,"Iran's Abbas Araqchi arrives in Pakistan, raising hopes for US peace talks","Trump plans to send special envoys Steve Witkoff and Jared Kushner to talks with Araqchi in Islamabad, and the pair will depart on Saturday morning",2026-04-24T19:07:33Z,Moneycontrol.com,https://www.moneycontrol.com/world/iran-s-abbas-araqchi-heading-to-pakistan-raising-hopes-for-us-peace-talks-article-13899065.html
India,Khalnayak Returns: Sanjay Dutt Is Back As Ballu Balram; Teaser Revives The Iconic 1993 Legacy,Latest Bollywood news about Khalnayak Returns: Sanjay Dutt Is Back As Ballu Balram; Teaser Revives The Iconic 1993 Legacy. Stay updated with entertainment industry updates on Sacnilk.,2026-04-24T18:19:43Z,Sacnilk,https://www.sacnilk.com/news/khalnayak-returns-sanjay-dutt-is-back-as-ballu-balram-teaser-revives-the-iconic-1993-legacy
India,"A Poor Opening, Stays Even Behind Avinash Tiwary's Laila Majnu!",Avinash Tiwary & Medha Shankr's Ginny Wedss Sunny 2 starts slow amid competition and mixed reviews. Read day 1 box office early trends!,2026-04-24T18:08:16Z,Koimoi,https://www.koimoi.com/box-office/ginny-wedss-sunny-2-box-office-day-1-early-trends-a-poor-opening-stays-even-behind-avinash-tiwarys-laila-majnu/
India,One hundred not enough: Sai Sudharsan watches Virat Kohli take over Chinnaswamy as RCB beat GT by five wickets,Cricket News: NEW DELHI: A century from Sai Sudharsan was not enough for Gujarat Titans to return to winning ways as Royal Challengers Bengaluru (RCB) chased down 2.,2026-04-24T18:02:00Z,The Times of India,https://timesofindia.indiatimes.com/sports/cricket/ipl/ipl-2026/one-hundred-not-enough-sai-sudharsan-watches-virat-kohli-take-over-chinnaswamy-as-rcb-beat-gt-by-five-wickets/articleshow/130501275.cms
India,Netanyahu says early-stage prostate cancer treated with no trace remaining,Israeli Prime Minister Benjamin Netanyahu has revealed that he recently received treatment for prostate cancer.,2026-04-24T17:54:35Z,The Siasat Daily,https://www.siasat.com/netanyahu-says-early-stage-prostate-cancer-treated-with-no-trace-remaining-3459875/
India,RCB vs GT IPL 2026 Highlights: Virat Kohli's 81 ensures RCB ease home in 206-run chase despite brief stutter,"Royal Challengers Bengaluru vs Gujarat Titans Highlights: A target of 206, once again made to look underpar by this RCB chasing machine. GT were a little short, and Virat Kohli's blistering partnership with Devdutt Padikkal punished their opposition. A late wobble, but nothing more – 2 points. | Cricket",2026-04-24T17:51:00Z,Hindustan Times,https://www.hindustantimes.com/cricket/rcb-vs-gt-live-cricket-score-royal-challengers-bengaluru-vs-gujarat-titans-ipl-2026-match-34-bengaluru-apr-24-101777025446959.html
India,Trump Sending 2 Key Officials To Pak For Talks With Iran: Report,Trump Sending 2 Key Officials To Pak For Talks With Iran: Report,2026-04-24T17:37:23Z,NDTV,https://www.ndtv.com/world-news/trump-sending-2-key-officials-to-pak-for-talks-with-iran-report-11405327
India,"US, Iran Prepare For 2nd Round Of Talks In Pak Without Vance, Ghalibaf","US Confirms Talks With Iran, 2 Key Officials To Fly To Pak Tomorrow",2026-04-24T17:25:58Z,NDTV,https://www.ndtv.com/world-news/us-confirms-talks-with-iran-2-key-officials-to-fly-to-pak-tomorrow-11405578
India,"Ashok Lahiri, Bengal BJP MLA and ex-CEA, to become Niti Aayog vice-chairman",A member of the current Bengal assembly from Balurghat — but not contesting the ongoing elections — Lahiri has served as the 12th Chief Economic Adviser| India News,2026-04-24T17:10:49Z,Hindustan Times,https://www.hindustantimes.com/india-news/ashok-lahiri-to-become-niti-aayog-vice-chairman-former-cea-from-west-bengal-eye-on-elections-101777050465241.html
India,"AAP MPs walk out, casting shadow over 2027 Assembly polls in Punjab","AAP faces internal crisis as seven MPs defect to BJP, jeopardizing their chances in the upcoming 2027 Punjab Assembly polls.",2026-04-24T17:01:44Z,The Hindu,https://www.thehindu.com/news/national/punjab/aap-mps-walk-out-casting-shadow-over-2027-assembly-polls-in-punjab/article70902317.ece
USA,Trump Administration Approves Firing Squad Executions for Death Penalty,"The Justice Department also reauthorized the use of a death penalty drug, and will seek to shorten the length of some legal appeals.",2026-04-24T19:19:24Z,The New York Times,https://www.nytimes.com/2026/04/24/us/politics/trump-firing-squad-executions-death-penalty.html
